go:0000001 | distribution_of | mitochondria
pyrimidine_nucleoside_monophosphate | consists_of | ribose_or_deoxyribose_sugar
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
ribose_or_deoxyribose_sugar | esterified_with | phosphate
go:0009131 | results_in | breakdown_of_pyrimidine_nucleoside_monophosphate
pyrimidine_nucleoside_monophosphate | consists_of | phosphate
pyrimidine_nucleoside_monophosphate | consists_of | ribose_or_deoxyribose_sugar
pyrimidine_nucleoside_monophosphate | consists_of | pyrimidine_base
nucleoside_diphosphate | consists_of | nucleobase
go:0009132 | involves | nucleoside_diphosphate
nucleoside_diphosphate | consists_of | diphosphate
deoxyribose_or_ribose_sugar | esterified_with | diphosphate
nucleobase | linked_to | deoxyribose_or_ribose_sugar
nucleoside_diphosphate | consists_of | deoxyribose_or_ribose_sugar
go:0009133 | results_in_formation_of | nucleoside_diphosphate
nucleoside_diphosphate | consists_of | nucleobase
nucleoside_diphosphate | consists_of | diphosphate
deoxyribose_or_ribose_sugar | esterified_with | diphosphate
nucleoside_diphosphate | consists_of | deoxyribose_or_ribose_sugar
nucleobase | linked_to | deoxyribose_or_ribose_sugar
nucleoside_diphosphate | consists_of | nucleobase
deoxyribose_or_ribose_sugar | esterified_with | diphosphate
nucleobase | linked_to | deoxyribose_or_ribose_sugar
nucleoside_diphosphate | consists_of | deoxyribose_or_ribose_sugar
go:0009134 | results_in | breakdown_of_nucleoside_diphosphate
purine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_nucleoside_diphosphate | consists_of | diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
go:0009135 | involves | purine_nucleoside_diphosphate
purine_nucleoside_diphosphate | consists_of | purine_base
purine_base | linked_to | ribose_or_deoxyribose_sugar
purine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_nucleoside_diphosphate | consists_of | diphosphate
go:0009136 | results_in_formation_of | purine_nucleoside_diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
purine_nucleoside_diphosphate | consists_of | purine_base
purine_base | linked_to | ribose_or_deoxyribose_sugar
go:0009137 | is_a | chemical_reactions_and_pathways
purine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_nucleoside_diphosphate | consists_of | diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
diphosphate | esterified_on | sugar
purine_nucleoside_diphosphate | is_a | compound
purine_nucleoside_diphosphate | consists_of | purine_base
purine_base | linked_to | ribose_or_deoxyribose_sugar
go:0009138 | involves | pyrimidine_nucleoside_diphosphate
pyrimidine_nucleoside_diphosphate | consists_of | diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
pyrimidine_nucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
pyrimidine_nucleoside_diphosphate | consists_of | diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
go:0009139 | results_in_formation_of | pyrimidine_nucleoside_diphosphate
pyrimidine_nucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
pyrimidine_nucleoside_diphosphate | consists_of | diphosphate
ribose_or_deoxyribose_sugar | esterified_with | diphosphate
go:0009140 | is_a | chemical_reactions_and_pathways
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
pyrimidine_nucleoside_diphosphate | is_a | compound
pyrimidine_nucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_nucleoside_diphosphate | consists_of | ribose_or_deoxyribose_sugar
nucleoside_triphosphate | consists_of | triphosphate
nucleoside_triphosphate | consists_of | nucleobase
deoxyribose_or_ribose_sugar | esterified_with | triphosphate
go:0009141 | involves | nucleoside_triphosphate
nucleoside_triphosphate | consists_of | deoxyribose_or_ribose_sugar
nucleobase | linked_to | deoxyribose_or_ribose_sugar
nucleoside_triphosphate | consists_of | nucleobase
deoxyribose_or_ribose_sugar | esterified_with | triphosphate
nucleoside_triphosphate | consists_of | deoxyribose_or_ribose_sugar
nucleobase | linked_to | deoxyribose_or_ribose_sugar
go:0009142 | results_in | formation_of_a_nucleoside_triphosphate
nucleoside_triphosphate | consists_of | triphosphate
go:0009143 | is_definition_of | chemical_reactions_and_pathways_resulting_in_the_breakdown_of_a_nucleoside_triphosphate
nucleoside_triphosphate | consists_of | nucleobase
deoxyribose_or_ribose_sugar | esterified_with | triphosphate
nucleoside_triphosphate | consists_of | deoxyribose_or_ribose_sugar
nucleobase | linked_to | deoxyribose_or_ribose_sugar
purine_nucleoside_triphosphate | consists_of | purine_base
go:0009144 | involves | purine_nucleoside_triphosphate
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
purine_nucleoside_triphosphate | consists_of | triphosphate
purine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_base | linked_to | ribose_or_deoxyribose_sugar
purine_nucleoside_triphosphate | consists_of | purine_base
go:0009145 | results_in_formation_of | purine_nucleoside_triphosphate
purine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_nucleoside_triphosphate | consists_of | triphosphate
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
purine_base | linked_to | ribose_or_deoxyribose_sugar
purine_nucleoside_triphosphate | consists_of | purine_base
purine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
purine_nucleoside_triphosphate | consists_of | triphosphate
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
go:0009146 | results_in_breakdown_of | purine_nucleoside_triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
go:0009147 | involves | pyrimidine_nucleoside_triphosphate
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
go:0009148 | results_in_formation_of | pyrimidine_nucleoside_triphosphate
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | triphosphate
pyrimidine_nucleoside_triphosphate | consists_of | pyrimidine_base
go:0009149 | is_definition_of | pyrimidine_nucleoside_triphosphate_breakdown
pyrimidine_nucleoside_triphosphate | consists_of | ribose_or_deoxyribose_sugar
pyrimidine_base | linked_to | ribose_or_deoxyribose_sugar
ribose_or_deoxyribose_sugar | esterified_with | triphosphate
ribonucleoside | linked_to | purine_base
ribonucleoside | linked_to | ribose_sugar
go:0009150 | involves | purine_ribonucleotide
ribonucleoside | esterified_with | phosphate_group
purine_ribonucleotide | consists_of | ribonucleoside
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
go:0009151 | definition_of | purine_deoxyribonucleotide
deoxyribonucleoside | linked_to | deoxyribose_sugar
purine_deoxyribonucleotide | consists_of | deoxyribonucleoside
purine_deoxyribonucleotide | esterified_with | phosphate_group
deoxyribonucleoside | linked_to | purine_base
purine_ribonucleotide | esterified_with | phosphate_group
ribonucleoside | consists_of | ribose_sugar
ribonucleoside | consists_of | purine_base
go:0009152 | is_a | chemical_reactions_and_pathways
ribonucleoside | esterified_with | phosphate_group
purine_ribonucleotide | consists_of | ribonucleoside
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
go:0009153 | part_of | chemical_reactions_and_pathways
deoxyribonucleoside | consists_of | deoxyribose_sugar
purine_deoxyribonucleotide | consists_of | deoxyribonucleoside
purine_deoxyribonucleotide | consists_of | phosphate_group
deoxyribonucleoside | consists_of | purine_base
purine_deoxyribonucleotide | esterified_with | phosphate_group
ribonucleoside | linked_to | purine_base
ribonucleoside | linked_to | ribose_sugar
ribonucleoside | esterified_with | phosphate_group
purine_ribonucleotide | consists_of | ribonucleoside
go:0009154 | results_in | breakdown_of_purine_ribonucleotide
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
deoxyribonucleoside | linked_to | deoxyribose_sugar
go:0009155 | results_in | breakdown_of_purine_deoxyribonucleotide
purine_deoxyribonucleotide | consists_of | deoxyribonucleoside
deoxyribonucleoside | esterified_with | phosphate_group
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
deoxyribonucleoside | linked_to | purine_base
ribonucleoside_monophosphate | consists_of | ribose_sugar
nucleobase | is_linked_to | ribose_sugar
go:0009156 | results_in | formation_of_ribonucleoside_monophosphate
ribose_sugar | is_esterified_with | phosphate
ribonucleoside_monophosphate | consists_of | nucleobase
deoxyribonucleoside_monophosphate | consists_of | deoxyribose_sugar
deoxyribonucleoside_monophosphate | consists_of | nucleobase
nucleobase | linked_to | deoxyribose_sugar
go:0009157 | results_in_formation_of | deoxyribonucleoside_monophosphate
deoxyribonucleoside_monophosphate | consists_of | phosphate
deoxyribose_sugar | esterified_with | phosphate
breakdown_of_a_ribonucleoside_monophosphate | is_a | chemical_reaction
ribonucleoside_monophosphate | consists_of | ribose_sugar
go:0009158 | defines | ribonucleoside_monophosphate
go:0009158 | defines | ribose_sugar
go:0009158 | defines | breakdown_of_a_ribonucleoside_monophosphate
ribose_sugar | esterified_with | phosphate
nucleobase | linked_to | ribose_sugar
go:0009158 | results_in | breakdown_of_a_ribonucleoside_monophosphate
go:0009158 | defines | nucleobase
go:0009158 | defines | phosphate
ribonucleoside_monophosphate | consists_of | nucleobase
breakdown_of_a_ribonucleoside_monophosphate | is_a | pathway
deoxyribonucleoside_monophosphate | consists_of | deoxyribose_sugar
deoxyribonucleoside_monophosphate | consists_of | nucleobase
nucleobase | linked_to | deoxyribose_sugar
go:0009159 | results_in | breakdown_of_a_deoxyribonucleoside_monophosphate
deoxyribonucleoside_monophosphate | consists_of | phosphate
deoxyribose_sugar | esterified_with | phosphate
organic_molecules | consist_of | purine_or_pyrimidine_base
purine_or_pyrimidine_base | covalently_bonded_to | sugar_deoxyribose
chemical_reactions_and_pathways | results_in | formation
sugar_deoxyribose | is_a | deoxyribonucleoside
formation | of | organic_molecules
purine_or_pyrimidine_base | covalently_bonded_to | sugar_ribose
go:0009163 | consists_of | chemical_reactions_and_pathways
sugar_ribose | is_a | ribonucleoside
organic_molecules | consists_of | sugar_ribose
purine_or_pyrimidine_base | covalently_bonded_to | sugar_deoxyribose
organic_molecules | consists_of | sugar_deoxyribose
sugar_deoxyribose | is_a | deoxyribonucleoside
sugar_ribose | is_a | ribonucleoside
purine_or_pyrimidine_base | covalently_bonded_to | sugar_ribose
go:0009164 | results_in | breakdown_of_organic_molecules
organic_molecules | consists_of | purine_or_pyrimidine_base
nucleotides | is_a | nucleoside_esterified_with_phosphate
nucleotides | includes | cyclic-nucleotides
nucleotides | may_be | mono-,_di-_or_triphosphate
go:0009165 | definition | chemical_reactions_and_pathways_resulting_in_the_formation_of_nucleotides
phosphate | is_a | orthophosphate
chemical_reactions_and_pathways | results_in | breakdown_of_nucleotides
oligophosphate | is_a | orthophosphate
nucleoside | esterified_with | phosphate
go:0009166 | is_a | chemical_reactions_and_pathways
breakdown_of_nucleotides | involves | nucleoside
nucleoside | esterified_with | oligophosphate
ribose_sugar | esterified_with | phosphate
go:0009167 | involves | purine_ribonucleoside_monophosphate
purine_base | linked_to | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | purine_base
ribose_sugar | esterified_with | phosphate
go:0009168 | definition | purine_ribonucleoside_monophosphate_formation
purine_base | linked_to | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | purine_base
ribose_sugar | esterified_with | phosphate
go:0009169 | results_in | breakdown_of_purine_ribonucleoside_monophosphate
purine_base | linked_to | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | ribose_sugar
purine_ribonucleoside_monophosphate | consists_of | purine_base
purine_deoxyribonucleoside_monophosphate | consists_of | phosphate
purine_base | linked_to | deoxyribose_sugar
purine_deoxyribonucleoside_monophosphate | consists_of | deoxyribose_sugar
go:0009170 | involves | purine_deoxyribonucleoside_monophosphate
purine_deoxyribonucleoside_monophosphate | consists_of | purine_base
deoxyribose_sugar | esterified_with | phosphate
purine_deoxyribonucleoside_monophosphate | consists_of | phosphate
purine_base | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | phosphate
purine_deoxyribonucleoside_monophosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_monophosphate | consists_of | purine_base
go:0009171 | results_in_formation_of | purine_deoxyribonucleoside_monophosphate
purine_deoxyribonucleoside_monophosphate | consists_of | phosphate
go:0009172 | results_in | breakdown_of_purine_deoxyribonucleoside_monophosphate
purine_base | linked_to | deoxyribose_sugar
purine_deoxyribonucleoside_monophosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_monophosphate | consists_of | purine_base
deoxyribose_sugar | esterified_with | phosphate
go:0009173 | involves | pyrimidine_ribonucleoside_monophosphate
ribose_sugar | esterified_with | phosphate
pyrimidine_ribonucleoside_monophosphate | consists_of | ribose_sugar
pyrimidine_ribonucleoside_monophosphate | consists_of | pyrimidine_base
pyrimidine_ribonucleoside_monophosphate | consists_of | phosphate
pyrimidine_base | linked_to | ribose_sugar
ribose_sugar | esterified_with | phosphate
pyrimidine_ribonucleoside_monophosphate | consists_of | ribose_sugar
pyrimidine_ribonucleoside_monophosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_ribonucleoside_monophosphate | consists_of | phosphate
go:0009174 | is_definition_of | pyrimidine_ribonucleoside_monophosphate_formation
pyrimidine_ribonucleoside_monophosphate_breakdown | involves | chemical_reactions
pyrimidine_ribonucleoside_monophosphate | consists_of | ribose_sugar
pyrimidine_ribonucleoside_monophosphate | consists_of | pyrimidine_base
pyrimidine_ribonucleoside_monophosphate_breakdown | involves | pathways
pyrimidine_ribonucleoside_monophosphate | consists_of | phosphate
go:0009175 | is_definition_of | pyrimidine_ribonucleoside_monophosphate_breakdown
go:0009176 | involves | pyrimidine_deoxynucleoside_monophosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | phosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | pyrimidine_base
pyrimidine_deoxynucleoside_monophosphate | consists_of | deoxyribose_sugar
pyrimidine_base | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | phosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | phosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | pyrimidine_base
go:0009177 | results_in_formation_of | pyrimidine_deoxynucleoside_monophosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | deoxyribose_sugar
deoxyribose_sugar | esterified_with | phosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | phosphate
go:0009178 | results_in | breakdown_of_pyrimidine_deoxynucleoside_monophosphate
pyrimidine_deoxynucleoside_monophosphate | consists_of | pyrimidine_base
pyrimidine_deoxynucleoside_monophosphate | consists_of | deoxyribose_sugar
purine_ribonucleoside_diphosphate | consists_of | ribose_sugar
purine_ribonucleoside_diphosphate | consists_of | purine_base
go:0009179 | definition_of | purine_ribonucleoside_diphosphate
purine_base | linked_to | ribose_sugar
ribose_sugar | esterified_with | diphosphate
purine_ribonucleoside_diphosphate | consists_of | diphosphate
purine_ribonucleoside_diphosphate | consists_of | ribose_sugar
chemical_reactions_and_pathways | results_in | purine_ribonucleoside_diphosphate
purine_ribonucleoside_diphosphate | consists_of | purine_base
go:0009180 | part_of | chemical_reactions_and_pathways
purine_base | linked_to | ribose_sugar
ribose_sugar | esterified_with | diphosphate
go:0009181 | results_in | breakdown_of_purine_ribonucleoside_diphosphate
purine_ribonucleoside_diphosphate | consists_of | ribose_sugar
purine_ribonucleoside_diphosphate | consists_of | purine_base
purine_base | linked_to | ribose_sugar
ribose_sugar | esterified_with | diphosphate
purine_base | linked_to | deoxyribose_sugar
go:0009182 | involves | purine_deoxyribonucleoside_diphosphate
purine_deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_diphosphate | consists_of | purine_base
purine_deoxyribonucleoside_diphosphate | consists_of | diphosphate
deoxyribose_sugar | esterified_with | diphosphate
purine_base | linked_to | deoxyribose_sugar
purine_deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_diphosphate | consists_of | purine_base
purine_deoxyribonucleoside_diphosphate | consists_of | diphosphate
go:0009183 | part_of | purine_deoxyribonucleoside_diphosphate_formation
deoxyribose_sugar | esterified_with | diphosphate
go:0009184 | is_definition_of | purine_deoxyribonucleoside_diphosphate_breakdown
purine_base | linked_to | deoxyribose_sugar
purine_deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_diphosphate | consists_of | purine_base
purine_deoxyribonucleoside_diphosphate | consists_of | diphosphate
deoxyribose_sugar | esterified_with | diphosphate
go:0009185 | involves | ribonucleoside_diphosphate
nucleobase | linked_to | ribose_sugar
ribonucleoside_diphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | diphosphate
ribonucleoside_diphosphate | consists_of | nucleobase
go:0009188 | results_in_formation_of | ribonucleoside_diphosphate
nucleobase | linked_to | ribose_sugar
ribonucleoside_diphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | diphosphate
ribonucleoside_diphosphate | consists_of | nucleobase
deoxyribonucleoside_diphosphate | consists_of | nucleobase
deoxyribose_sugar | esterified_with | diphosphate
go:0009189 | results_in_formation_of | deoxyribonucleoside_diphosphate
deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
cyclic_nucleotide | is_a | nucleotide
phosphate_group | in_diester_linkage_to | sugar_residue
nucleotide | has_phosphate_group | phosphate_group
go:0009190 | results_in_formation_of | cyclic_nucleotide
ribonucleoside_diphosphate | consists_of | ribose_sugar
go:0009191 | results_in | breakdown_of_ribonucleoside_diphosphate
ribose_sugar | esterified_with | diphosphate
ribonucleoside_diphosphate | consists_of | nucleobase
go:0009192 | part_of | chemical_reactions_and_pathways
chemical_reactions_and_pathways | results_in | breakdown_of_deoxyribonucleoside_diphosphate
nucleobase | linked_to | deoxyribose_sugar
deoxyribonucleoside_diphosphate | consists_of | nucleobase
deoxyribose_sugar | esterified_with | diphosphate
deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
go:0009193 | involves | pyrimidine_ribonucleoside_diphosphate
pyrimidine_ribonucleoside_diphosphate | consists_of | ribose_sugar
pyrimidine_ribonucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_ribonucleoside_diphosphate | consists_of | diphosphate
ribose_sugar | esterified_with | diphosphate
go:0009194 | results_in_formation_of | pyrimidine_ribonucleoside_diphosphate
pyrimidine_ribonucleoside_diphosphate | consists_of | ribose_sugar
pyrimidine_ribonucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_ribonucleoside_diphosphate | consists_of | diphosphate
ribose_sugar | esterified_with | diphosphate
pyrimidine_ribonucleoside_diphosphate | consists_of | ribose_sugar
go:0009195 | results_in | breakdown_of_pyrimidine_ribonucleoside_diphosphate
pyrimidine_ribonucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_ribonucleoside_diphosphate | consists_of | diphosphate
ribose_sugar | esterified_with | diphosphate
pyrimidine_deoxynucleoside_diphosphate | consists_of | pyrimidine_base
go:0009196 | involves_chemical_reactions_and_pathways | pyrimidine_deoxynucleoside_diphosphate
pyrimidine_deoxynucleoside_diphosphate | consists_of | diphosphate
pyrimidine_deoxynucleoside_diphosphate | consists_of | deoxyribose_sugar
deoxyribose_sugar | esterified_with | diphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
go:0009197 | results_in_formation_of | pyrimidine_deoxyribonucleoside_diphosphate
pyrimidine_deoxyribonucleoside_diphosphate | consists_of | deoxyribose_sugar
pyrimidine_deoxyribonucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_deoxyribonucleoside_diphosphate | consists_of | diphosphate
deoxyribose_sugar | esterified_with | diphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
pyrimidine_deoxynucleoside_diphosphate | consists_of | pyrimidine_base
pyrimidine_deoxynucleoside_diphosphate | consists_of | diphosphate
go:0009198 | results_in | breakdown_of_pyrimidine_deoxynucleoside_diphosphate
pyrimidine_deoxynucleoside_diphosphate | consists_of | deoxyribose_sugar
deoxyribose_sugar | esterified_with | diphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
deoxyribonucleoside_triphosphate | consists_of | nucleobase
deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
nucleobase | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | triphosphate
go:0009200 | involves | deoxyribonucleoside_triphosphate
ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
go:0009201 | results_in_formation_of | ribonucleoside_triphosphate
ribonucleoside_triphosphate | consists_of | nucleobase
deoxyribose_sugar | esterified_with | triphosphate
go:0009202 | results_in | deoxyribonucleoside_triphosphate
deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
deoxyribonucleoside_triphosphate | consists_of | nucleobase
go:0009203 | results_in | breakdown_of_ribonucleoside_triphosphate
ribonucleoside_triphosphate | consists_of | ribose_sugar
nucleobase | linked_to | ribose_sugar
ribose_sugar | esterified_with | triphosphate
ribonucleoside_triphosphate | consists_of | nucleobase
chemical_reactions_and_pathways | result_in | breakdown_of_deoxyribonucleoside_triphosphate
deoxyribonucleoside_triphosphate | consists_of | nucleobase
deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
nucleobase | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | triphosphate
go:0009204 | part_of | chemical_reactions_and_pathways
purine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
purine_ribonucleoside_triphosphate | consists_of | purine_base
purine_base | linked_to | ribose_sugar
go:0009205 | involves | purine_ribonucleoside_triphosphate
purine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
purine_ribonucleoside_triphosphate | consists_of | purine_base
go:0009206 | results_in_formation_of | purine_ribonucleoside_triphosphate
purine_base | linked_to | ribose_sugar
purine_base | linked_to | ribose_sugar
purine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
purine_ribonucleoside_triphosphate | consists_of | purine_base
go:0009207 | results_in_breakdown_of | purine_ribonucleoside_triphosphate
go:0009208 | part_of | chemical_reactions_and_pathways
pyrimidine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
pyrimidine_ribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_ribonucleoside_triphosphate | involved_in | chemical_reactions_and_pathways
go:0009209 | results_in_formation_of | pyrimidine_ribonucleoside_triphosphate
pyrimidine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
pyrimidine_ribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_ribonucleoside_triphosphate | consists_of | ribose_sugar
ribose_sugar | esterified_with | triphosphate
go:0009210 | results_in | breakdown_of_pyrimidine_ribonucleoside_triphosphate
pyrimidine_ribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_base | linked_to | ribose_sugar
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | triphosphate
deoxyribose_sugar | esterified_with | triphosphate
go:0009211 | involves | pyrimidine_deoxyribonucleoside_triphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | triphosphate
go:0009212 | results_in_formation_of | pyrimidine_deoxyribonucleoside_triphosphate
deoxyribose_sugar | esterified_with | triphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
go:0009213 | results_in_breakdown_of | pyrimidine_deoxyribonucleoside_triphosphate
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | pyrimidine_base
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
pyrimidine_deoxyribonucleoside_triphosphate | consists_of | triphosphate
deoxyribose_sugar | esterified_with | triphosphate
pyrimidine_base | linked_to | deoxyribose_sugar
sugar_residue | has_two_positions | phosphate_group_in_diester_linkage
cyclic_nucleotide | is_a | nucleotide
go:0009214 | results_in | breakdown_of_a_cyclic_nucleotide
nucleotide | has_phosphate_group_in_diester_linkage_to | sugar_residue
purine_deoxyribonucleoside_triphosphate | consists_of | triphosphate
purine_deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_triphosphate | consists_of | purine_base
purine_base | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | triphosphate
go:0009215 | involves | purine_deoxyribonucleoside_triphosphate
go:0009216 | is_a | chemical_reactions_and_pathways
purine_base | linked_to | deoxyribose_sugar
purine_base | part_of | purine_deoxyribonucleoside_triphosphate
purine_deoxyribonucleoside_triphosphate | is_a | compound
deoxyribose_sugar | part_of | purine_deoxyribonucleoside_triphosphate
deoxyribose_sugar | esterified_with | triphosphate
triphosphate | part_of | purine_deoxyribonucleoside_triphosphate
purine_deoxyribonucleoside_triphosphate | consists_of | triphosphate
go:0009217 | results_in | breakdown_of_purine_deoxyribonucleoside_triphosphate
purine_deoxyribonucleoside_triphosphate | consists_of | deoxyribose_sugar
purine_deoxyribonucleoside_triphosphate | consists_of | purine_base
purine_base | linked_to | deoxyribose_sugar
deoxyribose_sugar | esterified_with | triphosphate
nucleoside | esterified_with | phosphate_group
ribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
nucleoside | consists_of | pyrimidine_base
go:0009218 | is_a | chemical_reactions_and_pathways
compound | consists_of | nucleoside
nucleoside | consists_of | ribose_sugar
ribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
pyrimidine_ribonucleotide | part_of | compound
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
nucleoside | esterified_with | phosphate_group
nucleoside | consists_of | pyrimidine_base
deoxyribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
nucleoside | consists_of | deoxyribose_sugar
deoxyribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
go:0009219 | involves | pyrimidine_deoxynucleotide
pyrimidine_deoxynucleotide | consists_of | nucleoside
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
nucleoside | esterified_with | phosphate_group
pyrimidine_ribonucleotide | consists_of | nucleoside
nucleoside | consists_of | pyrimidine_base
nucleoside | consists_of | ribose_sugar
go:0009220 | results_in_formation_of | pyrimidine_ribonucleotide
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
